mass,Int
721.7229004,10562.4
721.7727051,10178.5
721.8225098,9981.23
721.8723145,9826.01
721.9221802,9688.64
721.9719849,9728.77
722.0217896,9658.33
722.0715942,9419.68
722.12146,9622.15
722.1712646,10750.6
722.2210693,12541.9
722.270874,15757.7
722.3207397,25656.7
722.3705444,47320.2
722.4203491,77706.9
722.4701538,91044.6
722.5200195,62159.1
722.5698242,31695.9
722.6196289,19873.6
722.6694336,13747.5
722.7192993,11547.6
722.769104,10768
722.8189087,10645.1
722.8687134,10340.2
722.9185181,10067
722.9683838,9795.24
723.0181885,9527.94
723.0679932,9297.31
723.1177979,9401.68
723.1676636,10036.6
723.2174683,11385.5
723.2672729,14377.7
723.3170776,19271.5
723.3669434,30565.1
723.416748,54497.2
723.4665527,73124.2
723.5163574,57738.5
723.5662231,30145.3
723.6160278,17685.1
723.6658325,13236.5
723.7156372,11721.4
723.7655029,11244.3
723.8153076,11121
723.8651123,10965.2
723.914917,10695.2
723.9647217,10227.3
724.0145874,9803.72
724.0643921,9339.74
724.1141968,9362.7
724.1640015,9602.36
724.2138672,10807.6
724.2636719,14709.2
724.3134766,26139.1
724.3632813,45568.7
724.413147,64790.3
724.4629517,68436.7
724.5127563,56981.8
724.562561,39969.1
724.6124268,21144.3
724.6622314,14119.9
724.7120361,11864.1
724.7618408,11347.2
724.8117065,11216.6
724.8615112,11039.5
724.9113159,10577.9
724.9611206,10146.3
725.0109253,9841.44
725.060791,9429.08
725.1105957,9368.73
725.1604004,10171.4
725.2102051,12097.9
725.2600708,16094.4
725.3098755,29189.2
725.3596802,54007.2
725.4094849,73130.3
725.4593506,63664.9
725.5091553,49271.4
725.55896,36631.1
725.6087646,22619.4
725.6586304,14694.1
725.7084351,11822.4
725.7582397,10903.7
725.8080444,10676.5
725.8579102,10644.1
725.9077148,10451.4
725.9575195,10176.9
726.0073242,9841.53
726.0571289,9818.35
726.1069946,9727.98
726.1567993,9971.06
726.206604,11368.9
726.2564087,13442.7
726.3062744,19192.2
726.3560791,42396.5
726.4058838,96756.6
726.4556885,148724
726.5055542,107592
726.5553589,47790.6
726.6051636,24603.2
726.6549683,15995.5
726.704834,12962.2
726.7546387,11840.2
726.8044434,11220.2
726.854248,10873.8
726.9041138,10486
726.9539185,10248.6
727.0037231,9961.24
727.0535278,9796.28
727.1033325,9809.88
727.1531982,10062.3
727.2030029,10709.6
727.2528076,12690.4
727.3026123,18619.2
727.352478,39036.7
727.4022827,82536.5
727.4520874,118008
727.5018921,83382.8
727.5517578,40499.5
727.6015625,21679.2
727.6513672,15864.2
727.7011719,13494.6
727.7510376,12182.7
727.8008423,11842.7
727.850647,11741.5
727.9004517,11495.7
727.9503174,11096.5
728.0001221,10827.6
728.0499268,10734.1
728.0997314,10687.4
728.1495361,11220.4
728.1994019,12593.8
728.2492065,16266.5
728.2990112,22843.6
728.3488159,34793.6
728.3986816,58680.9
728.4484863,76408.2
728.498291,79822.5
728.5480957,64773.6
728.5979614,38253.6
728.6477661,19814.3
728.6975708,14367.4
728.7473755,12612.8
728.7972412,12022.1
728.8470459,11832.5
728.8968506,11550.1
728.9466553,11068.3
728.996521,10839.2
729.0463257,10725.6
729.0961304,10294.7
729.1459351,10148.3
729.1957397,11077
729.2456055,13072.3
729.2954102,18921.1
729.3452148,33318.9
729.3950195,56110.8
729.4448853,71160.5
729.4946899,74000.4
729.5444946,56228.9
729.5942993,29511.7
729.644165,18171
729.6939697,14056.2
729.7437744,11954.3
729.7935791,11425
729.8434448,11664.5
729.8932495,11582.7
729.9430542,10972.4
729.9928589,10468.4
730.0427246,9978.39
730.0925293,9627.34
730.142334,9734.83
730.1921387,10981.3
730.2419434,13843.9
730.2918091,17968.4
730.3416138,25695.4
730.3914185,42987.4
730.4412231,68648.8
730.4910889,96522.3
730.5408936,94773.3
730.5906982,43390.9
730.6405029,20477.1
730.6903687,13986.9
730.7401733,12178
730.789978,11921.9
730.8397827,12130.4
730.8896484,11751.6
730.9394531,11116.3
730.9892578,10756.7
731.0390625,10455.2
731.0888672,9888.57
731.1387329,9889.74
731.1885376,10666.8
731.2383423,12403.9
731.288147,16696.5
731.3380127,28110.8
731.3878174,54806.3
731.4376221,100836
731.4874268,139337
731.5372925,104030
731.5870972,48838.9
731.6369019,26527.8
731.6867065,16340.1
731.7365723,13329.3
731.786377,12794.6
731.8361816,13095.5
731.8859863,12820.3
731.9358521,11630.8
731.9856567,10722.4
732.0354614,10338
732.0852661,10139.4
732.1350708,10535.2
732.1849365,11321.9
732.2347412,12171.1
732.2845459,14763.2
732.3343506,25942.7
732.3842163,54477
732.434021,99874.2
732.4838257,117530
732.5336304,86249.8
732.5834961,37627.9
732.6333008,19252.4
732.6831055,14054.5
732.7329102,12262.7
732.7827759,11972.3
732.8325806,12034.8
732.8823853,11592.1
732.9321899,10941
732.9820557,10255.1
733.0318604,9791.04
733.081665,9693.64
733.1314697,9872.07
733.1812744,10678.7
733.2311401,12399.2
733.2809448,16796.5
733.3307495,29902
733.3805542,57996.7
733.4304199,86060.3
733.4802246,85581.1
733.5300293,64245.4
733.579834,32714.4
733.6296997,17641.4
733.6795044,12869.8
733.7293091,11406.1
733.7791138,11080.8
733.8289795,11112.9
733.8787842,10785.6
733.9285889,10253.8
733.9783936,9913.3
734.0282593,9530.15
734.078064,9392.33
734.1278687,9585.51
734.1776733,9937.76
734.227478,11205.5
734.2773438,14636.1
734.3271484,23658.8
734.3769531,41747.1
734.4267578,63320.6
734.4766235,64130.2
734.5264282,42214.5
734.5762329,23690.5
734.6260376,15196
734.6759033,12299.9
734.725708,11841.2
734.7755127,11950.8
734.8253174,12132.8
734.8751831,11765
734.9249878,11003.8
734.9747925,10185
735.0245972,9611.04
735.0744629,9190.71
735.1242676,9254.45
735.1740723,9784.32
735.223877,11208
735.2736816,15444.3
735.3235474,22219.1
735.3733521,34197.7
